location,districk,neighborhood,room,living_room,area,age,floor,price
İstanbul , Beyoğlu , Cihangir Mah.,2,1,100,30,2,50000
İstanbul , Kadıköy , Caddebostan Mah.,3,1,125,12,7,85000
İstanbul , Pendik , Fatih Mah.,2,1,95,0,1,22000
İstanbul , Kartal , Esentepe Mah.,2,1,78,7,1,25000
İstanbul , Kadıköy , Caferağa Mah.,1,1,60,5,1,43000
İstanbul , Sancaktepe , Fatih Mah.,4,1,160,9,3,25000
İstanbul , Bakırköy , Zuhuratbaba Mah.,2,1,85,0,2,58000
İstanbul , Kadıköy , Caferağa Mah.,3,1,165,35,5,95000
İstanbul , Bakırköy , Osmaniye Mah.,1,1,195,10,1,95000
İstanbul , Bakırköy , Yeşilköy Mah.,3,1,190,38,2,55000
İstanbul , Arnavutköy , Boğazköy İstiklal Mah.,2,1,107,2,3,20000
İstanbul , Esenyurt , Barbaros Hayrettin Paşa Mah.,2,1,180,8,5,25000
İstanbul , Pendik , Kurtköy Mah.,2,1,110,25,3,23500
İstanbul , Şişli , Halide Edip Adıvar Mah.,2,1,140,12,1,30000
İstanbul , Bakırköy , Ataköy 3-4-11. Kısım Mah.,3,1,127,55,2,50000
İstanbul , Pendik , Velibaba Mah.,2,1,90,20,5,18000
İstanbul , Kadıköy , Fenerbahçe Mah.,2,1,71,7,3,66000
İstanbul , Avcılar , Merkez Mah.,3,1,110,32,1,13500
İstanbul , Şişli , Feriköy Mah.,3,1,120,30,2,35000
İstanbul , Sarıyer , Maslak Mah.,1,1,80,10,4,55000
İstanbul , Bahçelievler , Şirinevler Mah.,2,1,90,38,1,17500
İstanbul , Bahçelievler , Bahçelievler Mah.,3,1,150,0,3,60000
İstanbul , Kadıköy , Göztepe Mah.,2,1,80,0,7,75000
İstanbul , Beykoz , Kanlıca Mah.,3,1,140,30,3,80000
İstanbul , Kadıköy , Göztepe Mah.,3,1,105,1,1,62000
İstanbul , Beşiktaş , Vişnezade Mah.,2,1,90,40,2,30000
İstanbul , Kadıköy , Merdivenköy Mah.,2,1,85,35,1,28000
İstanbul , Beykoz , Paşabahçe Mah.,2,1,90,30,1,26000
İstanbul , Kağıthane , Nurtepe Mah.,3,1,170,25,4,20500
İstanbul , Çekmeköy , Mimar Sinan Mah.,3,1,125,19,2,35000
İstanbul , Kağıthane , Sultan Selim Mah.,2,1,90,25,5,18000
İstanbul , Bayrampaşa , Orta Mah.,2,1,85,40,3,14500
İstanbul , Kadıköy , Kozyatağı Mah.,3,1,145,9,1,80000
İstanbul , Beşiktaş , Abbasağa Mah.,2,1,95,7,-1,35000
İstanbul , Kartal , Hürriyet Mah.,2,1,110,22,1,17500
İstanbul , Kağıthane , Çağlayan Mah.,3,1,120,8,2,30000
İstanbul , Şişli , Cumhuriyet Mah.,1,1,70,12,4,30000
İstanbul , Gaziosmanpaşa , Karayolları Mah.,2,1,150,20,3,12000
İstanbul , Kağıthane , Gürsel Mah.,1,1,60,8,-2,16000
İstanbul , Kağıthane , Harmantepe Mah.,1,1,60,10,2,12500
İstanbul , Kağıthane , Yeşilce Mah.,1,1,75,20,1,18000
İstanbul , Kağıthane , Emniyet Evleri Mah.,2,1,79,7,-1,28000
İstanbul , Beşiktaş , Türkali Mah.,2,1,70,4,3,42000
İstanbul , Beylikdüzü , Gürpınar Mah.,3,1,130,20,5,12000
İstanbul , Üsküdar , Yavuztürk Mah.,3,1,147,19,3,37000
İstanbul , Ataşehir , Atatürk Mah.,3,1,115,30,1,40000
İstanbul , Kadıköy , Hasanpaşa Mah.,2,1,80,12,-1,27500
İstanbul , Kartal , Esentepe Mah.,2,1,90,6,4,25000
İstanbul , Ümraniye , Esenevler Mah.,2,1,95,25,2,27000
İstanbul , Avcılar , Cihangir Mah.,2,1,95,28,1,12500
İstanbul , Beyoğlu , Cihangir Mah.,3,1,120,30,2,60000
İstanbul , Maltepe , Altıntepe Mah.,3,1,120,35,2,28000
İstanbul , Maltepe , Feyzullah Mah.,3,1,160,27,6,40000
İstanbul , Şişli , Mecidiyeköy Mah.,1,1,65,0,3,40000
İstanbul , Sancaktepe , Fatih Mah.,3,1,100,21,6,18000
İstanbul , Beşiktaş , Kuruçeşme Mah.,1,1,90,50,1,35000
İstanbul , Sarıyer , Çamlıtepe Mah.,1,1,80,25,1,18000
İstanbul , Üsküdar , Valide-i Atik Mah.,2,1,90,20,1,35000
İstanbul , Şişli , Gülbahar Mah.,3,1,125,22,3,27500
İstanbul , Kağıthane , Sultan Selim Mah.,3,1,105,32,1,25000
İstanbul , Beyoğlu , Cihangir Mah.,2,1,80,35,1,38000
İstanbul , Beyoğlu , Cihangir Mah.,1,1,65,4,3,35000
İstanbul , Şişli , Mecidiyeköy Mah.,2,1,75,15,3,14500
İstanbul , Maltepe , Altıntepe Mah.,2,1,85,8,1,40000
İstanbul , Pendik , Güzelyalı Mah.,2,1,105,9,2,29500
İstanbul , Bahçelievler , Soğanlı Mah.,1,1,75,0,1,15000
İstanbul , Sarıyer , İstinye Mah.,2,1,75,25,3,27000
İstanbul , Kadıköy , Kozyatağı Mah.,2,1,125,33,3,40000
İstanbul , Eyüpsultan , Göktürk Merkez Mah.,3,1,165,10,1,65000
İstanbul , Avcılar , Mustafa Kemal Paşa Mah.,2,1,100,25,3,14000
İstanbul , Beylikdüzü , Adnan Kahveci Mah.,1,1,95,15,2,17500
İstanbul , Bahçelievler , Cumhuriyet Mah.,2,1,90,30,3,20000
İstanbul , Esenyurt , Mehterçeşme Mah.,2,1,90,10,1,9000
İstanbul , Kadıköy , Merdivenköy Mah.,3,1,115,31,1,30000
İstanbul , Kağıthane , Çağlayan Mah.,1,1,60,8,3,20000
İstanbul , Bahçelievler , Siyavuşpaşa Mah.,3,1,115,38,5,16000
İstanbul , Beşiktaş , Gayrettepe Mah.,3,1,125,40,1,55000
İstanbul , Kartal , Hürriyet Mah.,2,1,110,6,5,25500
İstanbul , Üsküdar , Bulgurlu Mah.,1,1,55,0,1,27500
İstanbul , Şişli , Merkez Mah.,1,1,60,0,7,55000
İstanbul , Çekmeköy , Güngören Mah.,2,1,85,4,2,28000
İstanbul , Beyoğlu , Yenişehir Mah.,1,1,70,30,3,13000
İstanbul , Sancaktepe , Fatih Mah.,2,1,92,10,1,14000
İstanbul , Şişli , Gülbahar Mah.,1,1,65,26,-2,13000
İstanbul , Şişli , Mecidiyeköy Mah.,1,1,60,4,1,40000
İstanbul , Kağıthane , Seyrantepe Mah.,2,1,90,10,1,20000
İstanbul , Fatih , Koca Mustafapaşa Mah.,1,1,65,32,1,12000
İstanbul , Esenyurt , Bağlarçeşme Mah.,2,1,110,5,1,20000
İstanbul , Sarıyer , Cumhuriyet Mah.,2,1,95,28,3,30000
İstanbul , Kağıthane , Yeşilce Mah.,2,1,73,15,3,24000
İstanbul , Pendik , Doğu Mah.,3,1,120,30,1,23000
İstanbul , Avcılar , Gümüşpala Mah.,3,1,160,30,4,25000
İstanbul , Üsküdar , Selami Ali Mah.,2,1,85,31,1,20000
İstanbul , Pendik , Esenler Mah.,3,1,100,28,3,23000
İstanbul , Beşiktaş , Ortaköy Mah.,2,1,100,35,4,35000
İstanbul , Üsküdar , Zeynep Kamil Mah.,2,1,85,35,3,25000
İstanbul , Bağcılar , 100. Yıl Mah.,2,1,120,35,2,17500
İstanbul , Gaziosmanpaşa , Yeni Mahalle Mah.,2,1,90,20,3,18000
İstanbul , Esenyurt , Gökevler Mah.,3,1,140,10,8,25000
İstanbul , Kağıthane , Harmantepe Mah.,2,1,95,15,4,22500
İstanbul , Kağıthane , Sultan Selim Mah.,1,1,75,32,2,16500
İstanbul , Kağıthane , Sultan Selim Mah.,2,1,90,20,1,24500
İstanbul , Üsküdar , Kuzguncuk Mah.,1,1,75,40,-1,18000
İstanbul , Şişli , Gülbahar Mah.,1,1,60,15,-1,20000
İstanbul , Sancaktepe , Meclis Mah.,2,1,85,0,2,28000
İstanbul , Üsküdar , Cumhuriyet Mah.,2,1,80,15,2,20000
İstanbul , Bahçelievler , Siyavuşpaşa Mah.,2,1,75,0,1,30000
İstanbul , Fatih , Seyyid Ömer Mah.,2,1,75,38,1,16500
İstanbul , Üsküdar , Zeynep Kamil Mah.,2,1,105,30,5,23000
İstanbul , Beyoğlu , Kalyoncu Kulluğu Mah.,3,1,90,60,4,35000
İstanbul , Bahçelievler , Siyavuşpaşa Mah.,1,1,75,24,1,15000
İstanbul , Sultanbeyli , Orhangazi Mah.,2,1,100,1,2,22100
İstanbul , Küçükçekmece , Yeni Mahalle Mah.,2,1,75,6,1,17500
İstanbul , Fatih , Molla Gürani Mah.,2,1,100,38,5,21000
