location,districk,neighborhood,room,living_room,area,age,floor,price,base_score,score_with_bonus,score
İstanbul , Zeytinburnu , Çırpıcı Mah.,2,1,110,28,1,19000,0.0008043653122893976,0.0008043653122893976,0.001
İstanbul , Başakşehir , Kayabaşı Mah.,2,1,85,25,1,16000,0.0006739276940803061,0.0006739276940803061,0.001
İstanbul , Kağıthane , Çağlayan Mah.,1,1,75,8,4,18500,0.000782625709254549,0.000782625709254549,0.001
İstanbul , Adalar , Nizam Mah.,4,1,280,31,2,50000,0.00215222070045001,0.00215222070045001,0.002
İstanbul , Pendik , Yayalar Mah.,3,1,158,5,8,38500,0.0016522098306484924,0.0016522098306484924,0.002
İstanbul , Küçükçekmece , Yeşilova Mah.,3,1,120,25,5,18000,0.0007608861062197005,0.0007608861062197005,0.001
İstanbul , Şişli , Harbiye Mah.,2,1,320,16,19,600000,0.02606578403878345,0.12606578403878346,0.115
İstanbul , Esenler , Kazım Karabekir Mah.,2,1,85,27,3,15000,0.000630448488010609,0.000630448488010609,0.001
İstanbul , Üsküdar , Zeynep Kamil Mah.,2,1,85,31,-1,20000,0.0008478445183590947,0.1008478445183591,0.092
İstanbul , Küçükçekmece , Gültepe Mah.,2,1,100,5,2,28000,0.001195678166916672,0.001195678166916672,0.001
İstanbul , Üsküdar , Murat Reis Mah.,2,1,115,42,1,25000,0.0010652405487075805,0.10106524054870758,0.092
İstanbul , Beylikdüzü , Cumhuriyet Mah.,3,1,155,4,10,30000,0.0012826365790560665,0.0012826365790560665,0.001
İstanbul , Küçükçekmece , Kartaltepe Mah.,3,2,160,4,3,4490000,0.19519989564990542,0.19519989564990542,0.177
İstanbul , Maltepe , Çınar Mah.,3,1,140,30,4,28500,0.0012174177699515207,0.0012174177699515207,0.001
İstanbul , Üsküdar , Zeynep Kamil Mah.,3,1,120,20,3,35000,0.0015000326094045523,0.10150003260940456,0.092
İstanbul , Ümraniye , Esenevler Mah.,2,1,85,15,1,19000,0.0008043653122893976,0.0008043653122893976,0.001
İstanbul , Küçükçekmece , Kemalpaşa Mah.,3,1,120,27,1,20000,0.0008478445183590947,0.0008478445183590947,0.001
İstanbul , Kağıthane , Ortabayır Mah.,1,1,65,1,4,55000,0.0023696167307984957,0.0023696167307984957,0.002
İstanbul , Pendik , Doğu Mah.,3,1,150,25,-1,23000,0.0009782821365681863,0.0009782821365681863,0.001
İstanbul , Sarıyer , Zekeriyaköy Mah.,4,1,240,15,1,72000,0.0031087632339833475,0.10310876323398335,0.094
İstanbul , Üsküdar , Bulgurlu Mah.,3,1,115,0,4,58000,0.002500054349007587,0.1025000543490076,0.093
İstanbul , Maltepe , Başıbüyük Mah.,1,1,45,11,9,26000,0.0011087197547772778,0.0011087197547772778,0.001
İstanbul , Bağcılar , Güneşli Mah.,3,1,150,11,14,53000,0.002282658318659101,0.002282658318659101,0.002
İstanbul , Şişli , Fulya Mah.,2,1,110,30,1,30000,0.0012826365790560665,0.10128263657905608,0.092
İstanbul , Eyüpsultan , Göktürk Merkez Mah.,3,1,148,0,3,95000,0.004108784973586382,0.004108784973586382,0.004
İstanbul , Beşiktaş , Levent Mah.,2,1,390,5,21,210000,0.009108893671601557,0.10910889367160156,0.099
İstanbul , Beylikdüzü , Barış Mah.,2,1,140,10,14,35000,0.0015000326094045523,0.0015000326094045523,0.001
