list-view-price,left,location,districk,neighborhood,room,living_room,area,age,floor
29.000,Kiralık Daire,İstanbul , Sarıyer , Ayazağa Mah.,1,1,55,7,1
19.500,Kiralık Daire,İstanbul , Sancaktepe , Yunus Emre Mah.,2,1,93,5,2
17.000,Kiralık Daire,İstanbul , Avcılar , Merkez Mah.,1,1,90,28,1
11.000,Kiralık Daire,İstanbul , Esenyurt , Talatpaşa Mah.,2,1,100,10,1
80.000,Kiralık Daire,İstanbul , Bakırköy , Osmaniye Mah.,3,1,148,11,8
72.000,Kiralık Daire,İstanbul , Bakırköy , Yeşilköy Mah.,3,1,170,13,1
40.000,Kiralık Daire,İstanbul , Beşiktaş , Gayrettepe Mah.,2,1,90,42,1
24.500,Kiralık Daire,İstanbul , Pendik , Esenler Mah.,2,1,90,5,2
25.000,Kiralık Daire,İstanbul , Kağıthane , Sultan Selim Mah.,2,1,85,15,6
13.000,Kiralık Daire,İstanbul , Gaziosmanpaşa , Merkez Mah.,2,1,85,16,1
55.000,Kiralık Daire,İstanbul , Kadıköy , Suadiye Mah.,3,1,110,26,3
52.000,Kiralık Daire,İstanbul , Kadıköy , Caferağa Mah.,1,1,70,4,1
14.000,Kiralık Daire,İstanbul , Esenyurt , Piri Reis Mah.,1,1,72,7,10
33.000,Kiralık Daire,İstanbul , Kartal , Atalar Mah.,2,1,80,1,4
52.000,Kiralık Daire,İstanbul , Kadıköy , Caferağa Mah.,1,1,70,4,1
32.500,Kiralık Residence,İstanbul , Şişli , Cumhuriyet Mah.,1,0,55,10,2
25.000,Kiralık Daire,İstanbul , Güngören , Haznedar Mah.,2,1,110,30,-3
50.000,Kiralık Daire,İstanbul , Maltepe , Feyzullah Mah.,3,1,160,35,1
25.000,Kiralık Daire,İstanbul , Kağıthane , Yahya Kemal Mah.,2,1,90,3,2
17.000,Kiralık Daire,İstanbul , Sancaktepe , Fatih Mah.,2,1,82,1,1
17.500,Kiralık Daire,İstanbul , Esenyurt , Koza Mah.,2,1,75,8,1
42.000,Kiralık Daire,İstanbul , Ataşehir , Barbaros Mah.,1,1,65,15,15
45.000,Kiralık Daire,İstanbul , Şişli , Merkez Mah.,3,1,130,30,2
25.250,Kiralık Daire,İstanbul , Sancaktepe , İnönü Mah.,3,1,150,9,4
35.000,Kiralık Daire,İstanbul , Şişli , Gülbahar Mah.,1,1,70,8,1
15.000,Kiralık Daire,İstanbul , Bahçelievler , Siyavuşpaşa Mah.,2,1,75,38,1
31.000,Kiralık Daire,İstanbul , Şişli , Fulya Mah.,2,1,90,31,1
23.000,Kiralık Daire,İstanbul , Şişli , Gülbahar Mah.,2,1,85,20,3
