list-view-price,left,celly 3,celly 4,location,districk,neighborhood,room,living_room,area
29.000,Kiralık Daire,"7
                        Yaşında",Yüksek Giriş,İstanbul , Sarıyer , Ayazağa Mah.,1,1,55
19.500,Kiralık Daire,"5
                        Yaşında",2. Kat,İstanbul , Sancaktepe , Yunus Emre Mah.,2,1,93
17.000,Kiralık Daire,"28
                        Yaşında",Giriş Katı,İstanbul , Avcılar , Merkez Mah.,1,1,90
11.000,Kiralık Daire,"10
                        Yaşında",Bahçe Katı,İstanbul , Esenyurt , Talatpaşa Mah.,2,1,100
80.000,Kiralık Daire,"11
                        Yaşında",8. Kat,İstanbul , Bakırköy , Osmaniye Mah.,3,1,148
72.000,Kiralık Daire,"13
                        Yaşında",Bahçe Katı,İstanbul , Bakırköy , Yeşilköy Mah.,3,1,170
40.000,Kiralık Daire,"42
                        Yaşında",1. Kat,İstanbul , Beşiktaş , Gayrettepe Mah.,2,1,90
24.500,Kiralık Daire,"5
                        Yaşında",2. Kat,İstanbul , Pendik , Esenler Mah.,2,1,90
25.000,Kiralık Daire,"15
                        Yaşında",6. Kat,İstanbul , Kağıthane , Sultan Selim Mah.,2,1,85
13.000,Kiralık Daire,"16
                        Yaşında",Bahçe Katı,İstanbul , Gaziosmanpaşa , Merkez Mah.,2,1,85
55.000,Kiralık Daire,"26
                        Yaşında",Ara Kat,İstanbul , Kadıköy , Suadiye Mah.,3,1,110
52.000,Kiralık Daire,"4
                        Yaşında",1. Kat,İstanbul , Kadıköy , Caferağa Mah.,1,1,70
14.000,Kiralık Daire,"7
                        Yaşında",10. Kat,İstanbul , Esenyurt , Piri Reis Mah.,1,1,72
33.000,Kiralık Daire,Sıfır Bina,4. Kat,İstanbul , Kartal , Atalar Mah.,2,1,80
52.000,Kiralık Daire,"4
                        Yaşında",1. Kat,İstanbul , Kadıköy , Caferağa Mah.,1,1,70
32.500,Kiralık Residence,"10
                        Yaşında",2. Kat,İstanbul , Şişli , Cumhuriyet Mah.,1,0,55
25.000,Kiralık Daire,"30
                        Yaşında",Kot 3,İstanbul , Güngören , Haznedar Mah.,2,1,110
50.000,Kiralık Daire,"35
                        Yaşında",1. Kat,İstanbul , Maltepe , Feyzullah Mah.,3,1,160
25.000,Kiralık Daire,"3
                        Yaşında",2. Kat,İstanbul , Kağıthane , Yahya Kemal Mah.,2,1,90
17.000,Kiralık Daire,Sıfır Bina,1. Kat,İstanbul , Sancaktepe , Fatih Mah.,2,1,82
17.500,Kiralık Daire,"8
                        Yaşında",Zemin,İstanbul , Esenyurt , Koza Mah.,2,1,75
42.000,Kiralık Daire,"15
                        Yaşında",15. Kat,İstanbul , Ataşehir , Barbaros Mah.,1,1,65
45.000,Kiralık Daire,"30
                        Yaşında",2. Kat,İstanbul , Şişli , Merkez Mah.,3,1,130
25.250,Kiralık Daire,"9
                        Yaşında",4. Kat,İstanbul , Sancaktepe , İnönü Mah.,3,1,150
35.000,Kiralık Daire,"8
                        Yaşında",1. Kat,İstanbul , Şişli , Gülbahar Mah.,1,1,70
15.000,Kiralık Daire,"38
                        Yaşında",Giriş Katı,İstanbul , Bahçelievler , Siyavuşpaşa Mah.,2,1,75
31.000,Kiralık Daire,"31
                        Yaşında",Giriş Katı,İstanbul , Şişli , Fulya Mah.,2,1,90
23.000,Kiralık Daire,"20
                        Yaşında",3. Kat,İstanbul , Şişli , Gülbahar Mah.,2,1,85
51.000,Kiralık Daire,"26
                        Yaşında",5. Kat,İstanbul , Bakırköy , Zuhuratbaba Mah.,4,1,175
40.000,Kiralık Daire,"2
                        Yaşında",Bahçe Katı,İstanbul , Sarıyer , Kireçburnu Mah.,3,1,130
32.000,Kiralık Daire,"7
                        Yaşında",Ara Kat,İstanbul , Eyüpsultan , Mithatpaşa Mah.,1,1,57
120.000,Kiralık Daire,"40
                        Yaşında",1. Kat,İstanbul , Kadıköy , Caddebostan Mah.,4,1,200
35.000,Kiralık Daire,"35
                        Yaşında",2. Kat,İstanbul , Maltepe , Küçükyalı Mah.,3,1,115
125.000,Kiralık Yalı Dairesi,"40
                        Yaşında",1. Kat,İstanbul , Beykoz , Kanlıca Mah.,2,1,80
70.000,Kiralık Daire,"25
                        Yaşında",4. Kat,İstanbul , Kadıköy , Göztepe Mah.,4,1,220
31.000,Kiralık Daire,Sıfır Bina,1. Kat,İstanbul , Maltepe , Cevizli Mah.,2,1,75
38.000,Kiralık Daire,"15
                        Yaşında",Giriş Katı,İstanbul , Eyüpsultan , Göktürk Merkez Mah.,1,1,90
28.000,Kiralık Daire,"25
                        Yaşında",4. Kat,İstanbul , Büyükçekmece , Atatürk Mah.,5,1,270
21.000,Kiralık Daire,"15
                        Yaşında",3. Kat,İstanbul , Pendik , Fevzi Çakmak Mah.,3,1,130
26.000,Kiralık Residence,"8
                        Yaşında",6. Kat,İstanbul , Kağıthane , Merkez Mah.,1,1,44
55.000,Kiralık Daire,"26
                        Yaşında",1. Kat,İstanbul , Üsküdar , Salacak Mah.,3,1,120
45.000,Kiralık Daire,"27
                        Yaşında",4. Kat,İstanbul , Sarıyer , İstinye Mah.,3,1,148
285.000,Kiralık Daire,"14
                        Yaşında",7. Kat,İstanbul , Şişli , Esentepe Mah.,3,1,200
44.000,Kiralık Daire,"35
                        Yaşında",7. Kat,İstanbul , Kadıköy , Sahrayı Cedit Mah.,3,1,110
25.000,Kiralık Daire,"30
                        Yaşında",2. Kat,İstanbul , Bahçelievler , Bahçelievler Mah.,2,1,95
45.000,Kiralık Daire,"40
                        Yaşında",2. Kat,İstanbul , Beşiktaş , Muradiye Mah.,3,1,120
35.000,Kiralık Daire,"26
                        Yaşında",4. Kat,İstanbul , Kadıköy , Hasanpaşa Mah.,3,1,126
25.000,Kiralık Daire,"25
                        Yaşında",2. Kat,İstanbul , Şişli , Gülbahar Mah.,3,1,120
29.000,Kiralık Daire,"14
                        Yaşında",7. Kat,İstanbul , Ümraniye , Çamlık Mah.,3,1,140
35.000,Kiralık Müstakil Ev,"20
                        Yaşında",,İstanbul , Sarıyer , Çamlıtepe Mah.,2,1,110
17.000,Kiralık Daire,"8
                        Yaşında",6. Kat,İstanbul , Esenyurt , Barbaros Hayrettin Paşa Mah.,1,1,120
75.000,Kiralık Daire,Sıfır Bina,En Üst Kat,İstanbul , Bakırköy , Sakızağacı Mah.,4,2,260
29.000,Kiralık Daire,"6
                        Yaşında",3. Kat,İstanbul , Şişli , Halide Edip Adıvar Mah.,2,1,70
22.000,Kiralık Daire,"4
                        Yaşında",1. Kat,İstanbul , Sancaktepe , Eyüp Sultan Mah.,2,1,75
400.000,Kiralık Daire,"30
                        Yaşında",Bahçe Katı,İstanbul , Beşiktaş , Ortaköy Mah.,4,2,350
23.500,Kiralık Daire,"1
                        Yaşında",Ara Kat,İstanbul , Maltepe , Zümrütevler Mah.,1,1,63
15.000,Kiralık Daire,"8
                        Yaşında",Giriş Katı,İstanbul , Avcılar , Cihangir Mah.,3,1,125
30.000,Kiralık Daire,"40
                        Yaşında",En Üst Kat,İstanbul , Üsküdar , Sultantepe Mah.,2,1,90
365.000,Kiralık Yalı,"50
                        Yaşında",,İstanbul , Sarıyer , Cumhuriyet Mah.,5,2,190
32.500,Kiralık Daire,"40
                        Yaşında",En Üst Kat,İstanbul , Kadıköy , Acıbadem Mah.,3,1,90
30.000,Kiralık Daire,"26
                        Yaşında",5. Kat,İstanbul , Bahçelievler , Cumhuriyet Mah.,3,1,135
60.000,Kiralık Daire,"25
                        Yaşında",3. Kat,İstanbul , Maltepe , İdealtepe Mah.,4,1,200
22.000,Kiralık Daire,"31
                        Yaşında",1. Kat,İstanbul , Küçükçekmece , Cennet Mah.,3,1,115
18.000,Kiralık Daire,"30
                        Yaşında",Yüksek Giriş,İstanbul , Üsküdar , Küçük Çamlıca Mah.,2,1,85
40.000,Kiralık Daire,"19
                        Yaşında",4. Kat,İstanbul , Üsküdar , Bahçelievler Mah.,3,1,147
680.000,Kiralık Daire,"1
                        Yaşında",18. Kat,İstanbul , Beşiktaş , Nisbetiye Mah.,6,1,578
35.000,Kiralık Residence,"4
                        Yaşında",8. Kat,İstanbul , Kağıthane , Telsizler Mah.,2,1,80
32.000,Kiralık Daire,Sıfır Bina,8. Kat,İstanbul , Bağcılar , Fevzi Çakmak Mah.,2,1,115
90.000,Kiralık Daire,"13
                        Yaşında",4. Kat,İstanbul , Beşiktaş , Abbasağa Mah.,2,1,90
13.000,Kiralık Daire,"40
                        Yaşında",Bahçe Katı,İstanbul , Fatih , Derviş Ali Mah.,2,1,65
30.000,Kiralık Daire,"10
                        Yaşında",5. Kat,İstanbul , Tuzla , Aydınlı Mah.,2,1,100
45.000,Kiralık Daire,"25
                        Yaşında",5. Kat,İstanbul , Sarıyer , Ferahevler Mah.,2,1,70
25.000,Kiralık Daire,"30
                        Yaşında",Ara Kat,İstanbul , Bahçelievler , Siyavuşpaşa Mah.,3,1,130
160.000,Kiralık Müstakil Ev,"20
                        Yaşında",,İstanbul , Üsküdar , Kuzguncuk Mah.,4,2,320
14.000,Kiralık Daire,"9
                        Yaşında",7. Kat,İstanbul , Esenyurt , Mevlana Mah.,1,1,75
16.750,Kiralık Daire,"3
                        Yaşında",3. Kat,İstanbul , Esenyurt , Örnek Mah.,2,1,105
