"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","list-view-header","list-view-location","img-wrp href","he-lazy-image src","listing-card--owner-info__firm-name","listing-card--owner-info__name","eids-badge__description","eids-badge__label","he-lazy-image src 2","he-lazy-image src 3"
"https://www.hepsiemlak.com/istanbul-bahcelievler-bahcelievler-kiralik/daire/21218-4645","33","60.000","16-03-2025","Kiralık Daire","3 +
                          1","150 m²","Sıfır Bina","3. Kat","Bahçelievler Yayla İş Bankası Yakını Sıfır, Kapalı Otoparklı, 140 M2 Arakat 3+1 Kiralık Daire","İstanbul / Bahçelievler / Bahçelievler Mah.","","","","","","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/7/4/8/6/0/4/4/1737373061-234003-44068478.jpeg",""
"https://www.hepsiemlak.com/istanbul-bakirkoy-senlikkoy-kiralik/villa/4753-17383","33","230.000","15-03-2025","Kiralık Villa","6 +
                          1","350 m²","26
                        Yaşında","","Floryada Günyüzü Emlaktan Cadde Üzerinde Kiralık Müstakil Villa.","İstanbul / Bakırköy / Şenlikköy Mah.","https://www.hepsiemlak.com/emlak-ofisi/gunyuzu-emlak-4753/canan-ozerdal-bayraktar-4753","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/3/5/7/4/0/0/04705e31-22c7-4180-9f80-ef462c4fbb9c.jpg","Günyüzü Emlak","Canan
        Özerdal Bayraktar","","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/9/3/2/7/9/3/4/b5e10503-1474-4b3b-ad88-fed13f06d29a.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/3/5/7/4/0/0/dcad7e63-a736-4c2a-b435-75c0cdbf45b6.jpg"
"https://www.hepsiemlak.com/istanbul-eyupsultan-gokturk-merkez-kiralik/villa/24340-5062","33","390.000","16-03-2025","Kiralık Villa","4 +
                          2","400 m²","20
                        Yaşında","","Kemer Country Köymeydanında 4+2 Havuzlu Villa Snowboard'dan","İstanbul / Eyüpsultan / Göktürk Merkez Mah.","","","","","","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/6/4/5/2/2/3/4/d93908c2-e8ed-4a56-9426-025af6006d7f.jpg",""
"https://www.hepsiemlak.com/istanbul-kadikoy-goztepe-kiralik/daire/124165-954","22","75.000","16-03-2025","Kiralık Daire","2 +
                          1","80 m²","Sıfır Bina","7. Kat","Göztepe Tanzimat Sokakta Yeni Binada 2+1 Kiralık Daire","İstanbul / Kadıköy / Göztepe Mah.","https://www.hepsiemlak.com/emlak-ofisi/pb-turkiye-124165","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/5/6/1/4/2/1/7018048f-dde6-4ffb-9a43-aae0dc0abe75.jpg","Pb Türkiye","","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","EİDS onaylı","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/8/2/6/3/2/4/4/1740307932242-44236288.jpg","https://hecdn01.hemlak.com/img/eids-logo-mini.png"
"https://www.hepsiemlak.com/istanbul-beykoz-kanlica-kiralik/daire/10771-659","22","80.000","16-03-2025","Kiralık Daire","3 +
                          1","140 m²","30
                        Yaşında","Ara Kat","Kanlıca Nın Göbeğinde  Ana Cadde Üzeri Eşyalı Daire","İstanbul / Beykoz / Kanlıca Mah.","","","","","","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/9/6/8/3/5/3/4/1728901480-968282-43538693.jpeg",""
"https://www.hepsiemlak.com/istanbul-kadikoy-goztepe-kiralik/daire/4502-1936","22","62.000","16-03-2025","Kiralık Daire","3 +
                          1","105 m²","1
                        Yaşında","1. Kat","Göztepe Özgürlük Parkına Yakın Sıfır 3+1 Kombili Ön Daire.","İstanbul / Kadıköy / Göztepe Mah.","https://www.hepsiemlak.com/emlak-ofisi/goztepe-emlak-4502","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/2/0/5/4/0/0/5eae7143-112d-44b5-ae58-bf505d719d9d.jpg","Göztepe Emlak","","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","EİDS onaylı","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/9/3/2/4/0/2/4/e17e4501-e537-4461-ab05-a2220b5c0d0b.jpg","https://hecdn01.hemlak.com/img/eids-logo-mini.png"
"https://www.hepsiemlak.com/istanbul-besiktas-visnezade-kiralik/daire/4854-386","21","30.000","16-03-2025","Kiralık Daire","2 +
                          1","90 m²","40
                        Yaşında","2. Kat","Aileye, Bayana Taşınmaya Hazır Bakımlı Daire","İstanbul / Beşiktaş / Vişnezade Mah.","","https://hecdn01.hemlak.com/img/eids-logo-mini.png","","","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","EİDS onaylı","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/6/9/2/6/2/4/4/1740816843324-44262968.jpg",""
"https://www.hepsiemlak.com/istanbul-kadikoy-merdivenkoy-kiralik/daire/37075-741","21","28.000","16-03-2025","Kiralık Daire","2 +
                          1","85 m²","35
                        Yaşında","Giriş Katı","Akdeniz'den Şair Arşi Caddesinde 2+1 D. Giriş Kiralık Daire","İstanbul / Kadıköy / Merdivenköy Mah.","","https://hecdn01.hemlak.com/img/eids-logo-mini.png","","","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","EİDS onaylı","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/7/1/3/6/1/4/4/e0ed55dc-2cd4-4d04-a0f9-a56f67319fb4.jpg",""
"https://www.hepsiemlak.com/istanbul-beykoz-pasabahce-kiralik/daire/49688-1395","21","26.000","16-03-2025","Kiralık Daire","2 +
                          1","90 m²","30
                        Yaşında","1. Kat","Paşabahçe Merkez De 2+1 90 M2 Daire","İstanbul / Beykoz / Paşabahçe Mah.","https://www.hepsiemlak.com/emlak-ofisi/beykoz-ajans-gayrimenkul-49688/huseyin-yildirim-939160","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/0/6/1/9/3/9/5570d0af-0a46-4d51-bb4b-66f413046c5c.jpg","Beykoz Ajans Gayrimenkul","Hüseyin
        Yıldırım","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","EİDS onaylı","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/7/7/3/7/0/4/4/0033b2d7-ab02-4773-a813-756ef3721851.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/8/8/6/9/4/0/b1e37262-b976-4bd4-af24-1e35f6d30c6b.jpg"
"https://www.hepsiemlak.com/istanbul-kagithane-nurtepe-kiralik/daire/55954-426","18","20.500","16-03-2025","Kiralık Daire","3 +
                          1","170 m²","25
                        Yaşında","4. Kat","Kiralık 3+1 Daire","İstanbul / Kağıthane / Nurtepe Mah.","https://www.hepsiemlak.com/emlak-ofisi/cilek-gayrimenkul-55954/mehmet-boyova-1041831","https://www.hepsiemlak.com/_nuxt/img/no-image-user.6f6a83e.svg","Çilek Gayrimenkul","Mehmet
        Boyova","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","EİDS onaylı","https://hecdn01.hemlak.com/img/eids-logo-mini.png",""
"https://www.hepsiemlak.com/istanbul-cekmekoy-mimar-sinan-kiralik/daire/13976-9867","21","35.000","15-03-2025","Kiralık Daire","3 +
                          1","125 m²","19
                        Yaşında","2. Kat","Ekşioğlu Onur Sitesinde 3+1 Mobilyalı Kiralık Daire","İstanbul / Çekmeköy / Mimar Sinan Mah.","","https://hecdn01.hemlak.com/img/eids-logo-mini.png","","","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","EİDS onaylı","",""
